Claim,Evidence,label
We should abandon the insanity plea,"For example, if an accused person puts their mental health at issue without going so far as to claim the defence of insanity, the Crown is entitled to ""complete the picture"".",0
Prenatal diagnosis should be mandatory,"Other companies and universities that are working towards developing non-invasive prenatal testing include Stanford University, [REF].",1
We should further exploit sustainable energies,"As a general trend, clean-energy costs are falling as the costs of fossil fuel energy are going up.",0
We should ban trans fats usage in food,It has been found that trans fats impaired memory and learning in middle-age rats.,1
"Many jurisdictions, local as well as national, either ban gambling or heavily control it by licensing","in the&nbsp;UK, the regulator of gambling activities is called the Gambling Commission",1
We should end athletic scholarships,Some schools or leagues permitted by the NCAA to award athletic scholarships nevertheless prohibit them among their students.,0
We should abolish the attorney-client privilege,"The appeals court quashed the conviction on several grounds, including the appellate court's ruling that justice for the accused should override attorney-client privilege; and that therefore the notes taken by Kuh, the Auersperg children's attorney, should be disclosed.",0
We should ban the use of child actors,An additional dozen or so child actresses of average size were hired to make up for the shortage of little people that the studio found to appear in the film ,0
Community service should be mandatory,"Loyola places a strong emphasis on community service, encouraging students to be ""Women and Men for Others, Leaders in Service.""",1
We should increase immigration to the United States,"Andres continued pushing for immigration reform in the United States and wrote the song ""Dream to Belong"" in direct support of the DREAM Act [REF].",0
Bullfighting should be banned,"Commenting on his ""Rituals of Dominionism in Human-Nonhuman Relations: Bullfighting to Hunting, Circuses to Petting,"" Richard White writes that Yates ""skilfully develops a persuasive critique which seeks to contextualise the powerful role of social rituals in shaping humans' speciesist relationships with other animals.""",0
We should ban alternative medicine,Some commentators have said that special consideration must be given to the issue of conflicts of interest in alternative medicine.,0
